,display_name,name,start_date,end_date,type
159001.XSHE,货币ETF,BZJ,2014-10-20,2200-01-01,etf
159003.XSHE,招商快线ETF,ZSKX,2014-10-20,2200-01-01,etf
159005.XSHE,汇添富快钱ETF,TFKQ,2015-01-13,2200-01-01,etf
159601.XSHE,A50ETF,A50ETF,2021-11-08,2200-01-01,etf
159602.XSHE,中国A50ETF,ZGA50ETF,2021-11-08,2200-01-01,etf
159605.XSHE,中概互联ETF,ZGHLETF,2021-12-02,2200-01-01,etf
159606.XSHE,中证500成长ETF,ZZ500CZETF,2021-12-29,2200-01-01,etf
159607.XSHE,中概互联网ETF,ZGHLWETF,2021-12-02,2200-01-01,etf
159608.XSHE,稀有金属ETF,XYJSETF,2021-12-23,2200-01-01,etf
159610.XSHE,500ETF增强,500ETFZQ,2022-01-10,2200-01-01,etf
159611.XSHE,电力ETF,DLETF,2022-01-07,2200-01-01,etf
159613.XSHE,信息安全ETF,XXAQETF,2022-01-27,2200-01-01,etf
159701.XSHE,物联网ETF招商,WLWETFZS,2021-12-23,2200-01-01,etf
159702.XSHE,AIETF,AIETF,2021-05-18,2200-01-01,etf
159703.XSHE,新材料ETF,XCL,2021-06-08,2200-01-01,etf
159706.XSHE,深证100ETF华安,SZ100ETFHA,2021-12-20,2200-01-01,etf
159707.XSHE,地产ETF,DCETF,2021-11-12,2200-01-01,etf
159708.XSHE,红利ETF,HLETF,2021-07-02,2200-01-01,etf
159709.XSHE,物联网ETF工银,WLJJ,2021-07-02,2200-01-01,etf
159710.XSHE,智能电车ETF,ZNDC,2021-08-09,2200-01-01,etf
159711.XSHE,港股通ETF,GGTETF,2021-12-28,2200-01-01,etf
159712.XSHE,港股通50ETF,GGT50ETF,2021-11-11,2200-01-01,etf
159713.XSHE,稀土ETF,XTETF,2021-08-16,2200-01-01,etf
159715.XSHE,稀土ETF易方达,XTETFYFD,2021-09-10,2200-01-01,etf
159716.XSHE,深创100ETF,SC100,2021-06-28,2200-01-01,etf
159717.XSHE,ESGETF,ESG300ETF,2021-09-29,2200-01-01,etf
159718.XSHE,港股医药ETF,GGYYETF,2021-12-28,2200-01-01,etf
159719.XSHE,开放共赢ETF,KFGYETF,2021-12-28,2200-01-01,etf
159720.XSHE,智能电动车ETF,ZNCTK,2021-07-20,2200-01-01,etf
159721.XSHE,深创龙头ETF,SCETF,2021-06-25,2200-01-01,etf
159723.XSHE,科技龙头ETF,KJLTETF,2021-10-15,2200-01-01,etf
159725.XSHE,线上消费ETF,XSXF,2021-07-02,2200-01-01,etf
159726.XSHE,恒生红利ETF,HSHLETF,2021-11-23,2200-01-01,etf
159728.XSHE,在线消费ETF,ZXXFETF,2022-01-11,2200-01-01,etf
159729.XSHE,互联网ETF,HLETF,2021-07-21,2200-01-01,etf
159730.XSHE,家电ETF基金,JDETFJJ,2021-12-24,2200-01-01,etf
159731.XSHE,石化ETF,SHETF,2021-12-10,2200-01-01,etf
159732.XSHE,消费电子ETF,XFDZ,2021-08-23,2200-01-01,etf
159733.XSHE,消费电子50ETF,XFDZ50ETF,2021-09-29,2200-01-01,etf
159735.XSHE,港股消费ETF,GGXF,2021-06-04,2200-01-01,etf
159736.XSHE,饮食ETF,YSETF,2021-09-27,2200-01-01,etf
159738.XSHE,沪港深云计算ETF,HGSYJSETF,2022-01-28,2200-01-01,etf
159739.XSHE,大数据ETF,DSJETF,2021-11-17,2200-01-01,etf
159740.XSHE,恒生科技ETF,HSKJ,2021-05-27,2200-01-01,etf
159741.XSHE,恒生科技ETF基金,GGKJ,2021-06-03,2200-01-01,etf
159742.XSHE,恒生科技指数ETF,HZKJ,2021-05-25,2200-01-01,etf
159743.XSHE,湖北ETF,HBETF,2022-01-11,2200-01-01,etf
159745.XSHE,建材ETF,JCETF,2021-06-18,2200-01-01,etf
159747.XSHE,香港科技ETF,XGKJ,2021-07-14,2200-01-01,etf
159748.XSHE,沪港深创新药ETF,HGSCXYETF,2021-12-03,2200-01-01,etf
159750.XSHE,香港科技50ETF,XGKJ50ETF,2022-02-14,2200-01-01,etf
159751.XSHE,港股科技ETF,GGKJETF,2021-12-28,2200-01-01,etf
159752.XSHE,新能源龙头ETF,XNY50,2021-07-28,2200-01-01,etf
159755.XSHE,电池ETF,DCETF,2021-06-24,2200-01-01,etf
159757.XSHE,电池30ETF,DC50,2021-08-09,2200-01-01,etf
159758.XSHE,红利50ETF,HL50ETF,2021-12-28,2200-01-01,etf
159760.XSHE,公共卫生健康ETF,GGWSJKETF,2021-12-20,2200-01-01,etf
159761.XSHE,新材料50ETF,XCL50ETF,2021-12-13,2200-01-01,etf
159763.XSHE,新材料ETF基金,XCLETFJJ,2021-09-13,2200-01-01,etf
159766.XSHE,旅游ETF,LYETF,2021-07-23,2200-01-01,etf
159767.XSHE,电池龙头ETF,DCLT,2021-08-23,2200-01-01,etf
